step,loss,grad_norm,sigma_min,sigma_mean,rho_max,rho_min,rho_mean,eos_mean
0,3.958791732788086,1.6919102668762207,0.34296926856040955,1.0276976823806763,0.7692123651504517,-0.7305462956428528,-0.00897543877363205,0.506695032119751
1,3.979423761367798,1.671889305114746,0.34530866146087646,1.0283876657485962,0.7215607166290283,-0.7167876958847046,-0.009132172912359238,0.5063693523406982
2,3.9868009090423584,1.685624361038208,0.34262198209762573,1.0285722017288208,0.7901332974433899,-0.7901332974433899,-0.00904056616127491,0.5072519183158875
3,3.9800000190734863,1.6469136476516724,0.35879334807395935,1.0256823301315308,0.7517426609992981,-0.7517426609992981,-0.008602788671851158,0.5055183172225952
4,3.9710190296173096,1.6856520175933838,0.3399977684020996,1.0267728567123413,0.8218112587928772,-0.8218112587928772,-0.008126599714159966,0.5072767734527588
5,3.9814488887786865,1.6745960712432861,0.3955577611923218,1.025804877281189,0.7452795505523682,-0.7452795505523682,-0.007739068940281868,0.5059607028961182
6,3.9719386100769043,1.6594460010528564,0.3492042124271393,1.0264188051223755,0.762100875377655,-0.762100875377655,-0.008603004738688469,0.5069904327392578
7,3.935530424118042,1.6952368021011353,0.33943668007850647,1.0264731645584106,0.7293553352355957,-0.7251288294792175,-0.008262544870376587,0.5056434273719788
8,3.9678537845611572,1.6807574033737183,0.33712178468704224,1.0279759168624878,0.7462310791015625,-0.7420807480812073,-0.008186443708837032,0.5069970488548279
9,3.9781157970428467,1.6395561695098877,0.2592860162258148,1.0268120765686035,0.738251268863678,-0.731565535068512,-0.00836782157421112,0.5054492354393005
10,3.9590775966644287,1.6636441946029663,0.37994301319122314,1.0270142555236816,0.7420153617858887,-0.7420153617858887,-0.007624034769833088,0.5050534009933472
11,3.959247589111328,1.6798945665359497,0.3845904767513275,1.0273700952529907,0.8005154728889465,-0.8005154728889465,-0.009008923545479774,0.5048505663871765
12,3.9984092712402344,1.6563178300857544,0.353251188993454,1.0265614986419678,0.7285175919532776,-0.7285175919532776,-0.008447868749499321,0.5045900940895081
13,3.950517177581787,1.6382081508636475,0.3523199260234833,1.0268839597702026,0.731444776058197,-0.731444776058197,-0.008340262807905674,0.5030238628387451
14,3.956305503845215,1.6394016742706299,0.3619849979877472,1.0269520282745361,0.7337186932563782,-0.7337186932563782,-0.008965003304183483,0.5030137896537781
15,3.9752089977264404,1.6745408773422241,0.33683016896247864,1.0273253917694092,0.7194505333900452,-0.7194505333900452,-0.008215515874326229,0.5051137804985046
16,3.9694511890411377,1.6325743198394775,0.37716254591941833,1.0248249769210815,0.791790783405304,-0.791790783405304,-0.007843897677958012,0.5020261406898499
17,3.955796003341675,1.6259832382202148,0.2806841731071472,1.0265486240386963,0.7425691485404968,-0.7284625172615051,-0.007527741137892008,0.5029911398887634
18,3.9603209495544434,1.6471611261367798,0.3828091621398926,1.0258257389068604,0.7558429837226868,-0.7558429837226868,-0.007577431853860617,0.5019250512123108
19,3.960742473602295,1.6416491270065308,0.35273346304893494,1.0260058641433716,0.7934048175811768,-0.7934048175811768,-0.006757235154509544,0.5000001788139343
20,3.982537031173706,1.6280641555786133,0.3366955518722534,1.0257377624511719,0.7537376880645752,-0.7199127674102783,-0.008075185120105743,0.5016489028930664
21,3.9509499073028564,1.6495494842529297,0.3650094270706177,1.0243752002716064,0.7718302011489868,-0.7322694063186646,-0.007407193537801504,0.4988582730293274
22,3.969043016433716,1.6209924221038818,0.2873982787132263,1.025083303451538,0.7346301078796387,-0.7346301078796387,-0.006801196373999119,0.49939829111099243
23,3.952559471130371,1.6468156576156616,0.37289226055145264,1.0252240896224976,0.7447857856750488,-0.7444626688957214,-0.00768648087978363,0.4975999593734741
24,3.931386947631836,1.6721055507659912,0.37029391527175903,1.0245575904846191,0.7630348801612854,-0.7630348801612854,-0.006754425819963217,0.49696242809295654
25,3.9249885082244873,1.6094263792037964,0.34856486320495605,1.0235991477966309,0.7433095574378967,-0.7433095574378967,-0.008396000601351261,0.4957825839519501
26,3.9595887660980225,1.6323233842849731,0.390328973531723,1.0238229036331177,0.754393458366394,-0.754393458366394,-0.008074355311691761,0.4946449398994446
27,3.924795150756836,1.6016303300857544,0.32965290546417236,1.0246896743774414,0.7524193525314331,-0.7392377853393555,-0.008371845819056034,0.49391865730285645
28,3.909165143966675,1.6406155824661255,0.3764837384223938,1.0234360694885254,0.7384493947029114,-0.7208502888679504,-0.006913959514349699,0.4927489757537842
29,3.9261465072631836,1.575105905532837,0.36590754985809326,1.0229898691177368,0.7756155133247375,-0.7756155133247375,-0.006906119640916586,0.4910147488117218
30,3.9395792484283447,1.6052510738372803,0.3527945280075073,1.0229190587997437,0.761608362197876,-0.7413513660430908,-0.006922817323356867,0.4919595420360565
31,3.9314446449279785,1.6116392612457275,0.30724769830703735,1.0233159065246582,0.7371617555618286,-0.7100584506988525,-0.006071658339351416,0.4914626181125641
32,3.9208242893218994,1.602445125579834,0.3329751789569855,1.0238302946090698,0.7530593276023865,-0.7530593276023865,-0.007054997142404318,0.48734837770462036
33,3.9052236080169678,1.5714812278747559,0.3599840998649597,1.0225228071212769,0.7353821396827698,-0.7286549806594849,-0.0068179285153746605,0.487324059009552
34,3.92207932472229,1.5678468942642212,0.360634446144104,1.0222264528274536,0.7467946410179138,-0.7360597252845764,-0.007095938548445702,0.48555150628089905
35,3.952657461166382,1.5695557594299316,0.28952285647392273,1.021144986152649,0.7339280843734741,-0.7339280843734741,-0.007148698903620243,0.484345942735672
36,3.907400131225586,1.5621412992477417,0.32106858491897583,1.0205981731414795,0.7762545347213745,-0.7762545347213745,-0.006114105693995953,0.48335275053977966
